anime_name,anime_review
Серебряный лис,"8,5"
Клуб добрых дел,"7,7"
Дропкик злого духа 3,"7,5"
Вечера с кошкой,"8,8"
Привлекая поцелуй,"8,0"
"Красный, белый, чёрный, жёлтый: Ледяная империя","6,8"
Вермейл в золотом: Сильнейший маг проходит через магический мир с сильнейшей катастрофой,"7,8"
Добро пожаловать в класс превосходства 2,"9,1"
Экстремальные сердца,"6,1"
Люцифер и Бисквитный Молот,"5,3"
Богиня идола-мерзавца,"7,2"
Дочка босса и её нянька,"8,9"
Аюму всё равно станет ближе,"7,4"
Новое Токио Мяу Мяу,"6,1"
"Может, я встречу тебя в подземелье? 4","8,6"
Девушка на час 2,"7,9"
Пляжные приключения Муроми OVA,"6,5"
Пляжные приключения Муроми,"7,3"
Гэнсикэн. Второе поколение,"6,9"
Шутки чокнутой столицы ONA,"6,4"
